capital,id_zona,altura_sobre_nivel_del_mar,temperatura_media_anual,precipitacion_anual,profundidad_efectiva_suelo,aptitud
Mitu,190,397,28,1387,108,sumamente apto
Puerto Carreno,191,932,36,2608,73,no apto
Leticia,192,452,20,3315,78,marginalmente apto
Medellin,193,1282,24,1570,78,moderadamente apto
Arauca,194,687,29,3952,104,moderadamente apto
Barranquilla,195,656,44,3031,92,no apto
Cartagena,196,380,44,1635,63,no apto
Tunja,197,870,42,2793,40,no apto
Manizales,198,711,30,2956,49,marginalmente apto
Florencia,199,949,38,2693,104,no apto
Yopal,200,628,33,3871,25,no apto
Popayan,201,676,41,2901,36,no apto
Valledupar,202,509,40,1152,94,no apto
Quibdo,203,589,30,2971,36,marginalmente apto
Monteria,204,1231,17,2834,72,no apto
Bogota,205,877,42,4104,73,no apto
Inirida,206,1195,34,3111,105,no apto
San Jose del Guaviare,207,642,43,2193,42,no apto
Neiva,208,700,17,2715,66,no apto
Rioacha,209,978,32,2593,64,marginalmente apto
Santa Marta,210,602,27,1985,56,moderadamente apto
Villavicencio,211,456,27,2915,109,sumamente apto
Pasto,212,991,43,1597,64,no apto
Cucuta,213,1268,38,3427,107,no apto
Mocoa,214,354,36,2931,52,no apto
Armenia,215,1334,27,1446,82,moderadamente apto
Pereira,216,463,14,3539,89,no apto
San Andres,217,373,36,2051,26,no apto
Bucaramanga,218,1009,34,1192,52,no apto
Sincelejo,219,407,31,1223,43,marginalmente apto
Ibague,220,356,35,2614,78,no apto
Cali,221,1188,29,2769,32,marginalmente apto
Mitu,222,1020,15,2449,37,no apto
Puerto Carreno,223,935,33,3742,44,no apto
Leticia,224,1152,28,3937,60,moderadamente apto
Medellin,225,1161,39,3695,30,no apto
Arauca,226,640,42,2243,87,no apto
Barranquilla,227,381,37,3752,21,no apto
Cartagena,228,495,43,4170,63,no apto
Tunja,229,564,15,3552,49,no apto
Manizales,230,1343,39,2486,57,no apto
Florencia,231,1103,27,2147,45,marginalmente apto
Yopal,232,658,36,4017,85,no apto
Popayan,233,563,17,3904,85,no apto
Valledupar,234,843,19,1374,35,marginalmente apto
Quibdo,235,1344,18,2309,35,marginalmente apto
Monteria,236,564,41,2927,16,no apto
Bogota,237,585,42,2426,68,no apto
Inirida,238,801,25,4128,101,sumamente apto
San Jose del Guaviare,239,1042,16,3554,42,no apto
Neiva,240,1113,41,3995,32,no apto
Rioacha,241,895,43,3845,64,no apto
Santa Marta,242,627,30,3971,74,moderadamente apto
Villavicencio,243,1380,42,3269,56,no apto
Pasto,244,688,39,1949,69,no apto
Cucuta,245,1331,18,4157,41,marginalmente apto
Mocoa,246,882,34,2860,32,no apto
Armenia,247,1053,32,1145,71,marginalmente apto
Pereira,248,1180,15,4105,39,no apto
San Andres,249,756,29,2688,59,moderadamente apto
Bucaramanga,250,691,32,2535,35,marginalmente apto
Sincelejo,251,1075,31,1803,89,marginalmente apto
Ibague,252,406,26,2721,109,sumamente apto
Cali,253,930,14,1674,79,no apto
Mitu,254,912,22,1786,42,marginalmente apto
Puerto Carreno,255,693,41,2235,32,no apto
Leticia,256,1111,33,1304,35,no apto
Medellin,257,1043,17,2445,101,no apto
Arauca,258,815,37,2822,20,no apto
Barranquilla,259,1271,34,2054,65,no apto
Cartagena,260,922,40,2977,102,no apto
Tunja,261,802,18,2003,96,marginalmente apto
Manizales,262,713,15,2254,60,no apto
Florencia,263,574,30,2319,46,marginalmente apto
Yopal,264,532,36,2530,84,no apto
Popayan,265,597,33,1858,58,no apto
Valledupar,266,1215,14,2150,86,no apto
Quibdo,267,1261,23,2371,52,moderadamente apto
Monteria,268,500,25,3702,30,marginalmente apto
Bogota,269,495,20,1217,65,marginalmente apto
Inirida,270,908,43,3615,73,no apto
San Jose del Guaviare,271,684,25,2008,98,moderadamente apto
Neiva,272,864,32,3868,79,marginalmente apto
Rioacha,273,1008,15,3703,74,no apto
Santa Marta,274,1152,17,2679,77,no apto
Villavicencio,275,856,17,2363,18,no apto
Pasto,276,1228,25,2578,80,moderadamente apto
Cucuta,277,1052,16,1836,89,no apto
Mocoa,278,644,21,2266,24,no apto
Armenia,279,1141,29,2137,107,moderadamente apto
Pereira,280,1399,36,3219,97,no apto
San Andres,281,388,43,4190,38,no apto
Bucaramanga,282,925,41,2740,25,no apto
Sincelejo,283,806,39,3609,76,no apto
Ibague,284,362,31,2904,38,marginalmente apto
Cali,285,1145,26,3796,56,moderadamente apto
Mitu,286,1335,15,1922,24,no apto
Puerto Carreno,287,1116,18,3615,107,marginalmente apto
Leticia,288,1089,33,1540,84,no apto
Medellin,289,591,16,1516,80,no apto
Arauca,290,1027,19,2515,28,marginalmente apto
Barranquilla,291,1374,24,2006,34,marginalmente apto
Cartagena,292,447,16,3796,78,no apto
Tunja,293,631,22,2364,75,moderadamente apto
Manizales,294,1393,44,3457,74,no apto
Florencia,295,1214,37,3842,56,no apto
Yopal,296,437,22,3715,105,moderadamente apto
Popayan,297,837,20,3123,37,marginalmente apto
Valledupar,298,532,17,3493,83,no apto
Quibdo,299,1087,14,3299,92,no apto
Monteria,300,507,24,1682,79,moderadamente apto
Bogota,301,619,35,1234,56,no apto
Inirida,302,802,39,2352,90,no apto
San Jose del Guaviare,303,1326,16,3821,30,no apto
Neiva,304,545,44,3653,99,no apto
Rioacha,305,353,29,2316,102,moderadamente apto
Santa Marta,306,554,31,1763,17,no apto
Villavicencio,307,852,36,3837,67,no apto
Pasto,308,815,19,2125,74,marginalmente apto
Cucuta,309,665,22,2756,54,moderadamente apto
Mocoa,310,548,23,4037,34,marginalmente apto
Armenia,311,524,30,3627,24,no apto
Pereira,312,746,44,1874,59,no apto
San Andres,313,827,19,1390,46,marginalmente apto
Bucaramanga,314,392,37,1565,100,no apto
Sincelejo,315,609,28,3208,98,moderadamente apto
Ibague,316,791,37,2070,34,no apto
Cali,317,592,25,3354,48,marginalmente apto
Mitu,318,1086,22,2655,71,moderadamente apto
Puerto Carreno,319,770,34,3236,31,no apto
Leticia,320,789,23,3683,84,moderadamente apto
Medellin,321,1216,36,1630,58,no apto
Arauca,322,397,23,2870,87,moderadamente apto
Barranquilla,323,1087,41,3822,93,no apto
Cartagena,324,599,14,1259,59,no apto
Tunja,325,1012,39,1804,48,no apto
Manizales,326,763,33,2142,35,no apto
Florencia,327,697,18,3765,69,marginalmente apto
Yopal,328,1043,18,1670,97,marginalmente apto
Popayan,329,616,14,3621,47,no apto
Valledupar,330,883,41,1112,46,no apto
Quibdo,331,620,34,2275,76,no apto
Monteria,332,772,22,3886,41,marginalmente apto
Bogota,333,697,25,2263,100,moderadamente apto
Inirida,334,612,31,3197,68,marginalmente apto
San Jose del Guaviare,335,640,20,2159,100,marginalmente apto
Neiva,336,903,29,2472,32,marginalmente apto
Rioacha,337,999,37,4129,21,no apto
Santa Marta,338,1352,36,3017,96,no apto
Villavicencio,339,708,16,3149,22,no apto
Pasto,340,1099,43,1370,19,no apto
Cucuta,341,1247,24,2451,84,moderadamente apto
Mocoa,342,701,16,2127,42,no apto
Armenia,343,478,21,3156,53,moderadamente apto
Pereira,344,556,19,1155,95,marginalmente apto
San Andres,345,723,20,3478,43,marginalmente apto
Bucaramanga,346,1179,39,3353,47,no apto
Sincelejo,347,1149,33,3339,101,no apto
Ibague,348,1354,16,3306,57,no apto
Cali,349,782,27,2150,106,sumamente apto
Mitu,350,411,20,1191,78,marginalmente apto
Puerto Carreno,351,517,29,4006,80,moderadamente apto
Leticia,352,721,26,3819,23,no apto
Medellin,353,592,24,1882,99,moderadamente apto
Arauca,354,1156,27,1801,41,marginalmente apto
Barranquilla,355,675,34,2239,67,no apto
Cartagena,356,1269,43,3661,92,no apto
Tunja,357,1033,33,2767,72,no apto
Manizales,358,701,24,1104,53,moderadamente apto
Florencia,359,451,27,1957,84,moderadamente apto
Yopal,360,1091,24,3470,105,moderadamente apto
Popayan,361,562,20,1352,86,marginalmente apto
Valledupar,362,432,41,2666,80,no apto
Quibdo,363,999,36,3910,18,no apto
Monteria,364,671,33,3047,64,no apto
Bogota,365,911,23,1603,84,moderadamente apto
Inirida,366,723,38,3902,88,no apto
San Jose del Guaviare,367,380,20,2522,48,marginalmente apto
Neiva,368,682,29,3775,106,moderadamente apto
Rioacha,369,524,18,2472,26,marginalmente apto
Santa Marta,370,790,30,3146,18,no apto
Villavicencio,371,462,42,3587,57,no apto
Pasto,372,395,30,2043,76,moderadamente apto
Cucuta,373,1213,40,2150,22,no apto
Mocoa,374,355,27,4174,101,sumamente apto
Armenia,375,356,16,2338,89,no apto
Pereira,376,1054,39,1328,99,no apto
San Andres,377,1295,39,3839,27,no apto
Bucaramanga,378,933,42,3324,35,no apto
Sincelejo,379,445,16,2063,59,no apto
Ibague,380,1058,40,1369,72,no apto
Cali,381,406,16,1350,80,no apto
Mitu,382,1051,37,2398,58,no apto
Puerto Carreno,383,1358,28,3339,65,moderadamente apto
Leticia,384,1303,43,3135,46,no apto
Medellin,385,415,17,3248,27,no apto
Arauca,386,1291,18,4008,37,marginalmente apto
Barranquilla,387,437,15,1271,69,no apto
Cartagena,388,997,28,1103,43,marginalmente apto
Tunja,389,819,32,2292,107,marginalmente apto
Manizales,390,1234,39,3204,82,no apto
Florencia,391,652,37,1131,102,no apto
Yopal,392,816,31,4183,35,marginalmente apto
Popayan,393,402,34,3499,49,no apto
Valledupar,394,957,39,3842,65,no apto
Quibdo,395,935,27,1340,47,marginalmente apto
Monteria,396,1329,25,1768,100,moderadamente apto
Bogota,397,777,20,2103,105,marginalmente apto
Inirida,398,1292,21,3554,100,moderadamente apto
San Jose del Guaviare,399,360,29,2292,66,moderadamente apto
Neiva,400,1070,41,3628,47,no apto
Rioacha,401,488,18,3964,24,no apto
Santa Marta,402,682,29,1883,24,no apto
Villavicencio,403,437,14,3745,91,no apto
Pasto,404,1220,43,1570,95,no apto
Cucuta,405,606,17,2231,19,no apto
Mocoa,406,874,27,1530,87,moderadamente apto
Armenia,407,1331,44,2852,24,no apto
Pereira,408,1201,44,3807,101,no apto
San Andres,409,418,18,3250,88,marginalmente apto
Bucaramanga,410,1174,28,1665,51,moderadamente apto
Sincelejo,411,590,36,3949,72,no apto
Ibague,412,1076,35,3029,31,no apto
Cali,413,1399,32,3316,59,marginalmente apto
Mitu,414,1337,28,3094,97,moderadamente apto
Puerto Carreno,415,1257,18,3652,31,marginalmente apto
Leticia,416,1170,31,3752,35,marginalmente apto
Medellin,417,1370,20,2026,39,marginalmente apto
Arauca,418,1046,16,3296,39,no apto
Barranquilla,419,795,34,1269,61,no apto
Cartagena,420,869,37,1637,80,no apto
Tunja,421,1280,37,2625,55,no apto
Manizales,422,947,21,3756,21,no apto
Florencia,423,559,42,2544,15,no apto
Yopal,424,604,14,1986,23,no apto
Popayan,425,1141,27,1282,109,sumamente apto
Valledupar,426,815,34,2409,36,no apto
Quibdo,427,479,17,3517,73,no apto
Monteria,428,676,41,1497,61,no apto
Bogota,429,580,40,4003,94,no apto
Inirida,430,839,42,3536,20,no apto
San Jose del Guaviare,431,359,39,2291,24,no apto
Neiva,432,1218,34,2445,82,no apto
Rioacha,433,425,35,2663,57,no apto
Santa Marta,434,1206,14,3586,70,no apto
Villavicencio,435,559,27,3980,84,moderadamente apto
Pasto,436,1289,14,2454,43,no apto
Cucuta,437,1189,37,1873,44,no apto
Mocoa,438,414,23,2612,68,moderadamente apto
Armenia,439,1327,22,1802,26,marginalmente apto
Pereira,440,1260,37,1785,60,no apto
San Andres,441,1038,44,2940,92,no apto
Bucaramanga,442,809,41,2632,28,no apto
Sincelejo,443,1127,36,3844,15,no apto
Ibague,444,1215,15,1394,53,no apto
Cali,445,1241,18,3837,63,marginalmente apto
Mitu,446,732,15,3212,64,no apto
Puerto Carreno,447,731,33,3679,35,no apto
Leticia,448,1127,31,1858,108,marginalmente apto
Medellin,449,923,32,4018,19,no apto
Arauca,450,605,33,1832,63,no apto
Barranquilla,451,548,35,3320,77,no apto
Cartagena,452,826,31,2515,26,marginalmente apto
Tunja,453,745,33,1608,43,no apto
Manizales,454,1212,25,1312,54,moderadamente apto
Florencia,455,544,25,1247,49,marginalmente apto
Yopal,456,843,42,3935,50,no apto
Popayan,457,1126,18,3531,37,marginalmente apto
Valledupar,458,721,44,1884,25,no apto
Quibdo,459,954,19,3153,74,marginalmente apto
Monteria,460,990,43,2667,96,no apto
Bogota,461,549,25,3013,39,marginalmente apto
Inirida,462,1344,29,1160,60,moderadamente apto
San Jose del Guaviare,463,838,40,3995,53,no apto
Neiva,464,513,43,1552,23,no apto
Rioacha,465,762,25,2473,63,moderadamente apto
Santa Marta,466,532,29,2743,19,no apto
Villavicencio,467,771,24,2891,70,moderadamente apto
Pasto,468,1065,19,1407,32,marginalmente apto
Cucuta,469,1238,15,2589,96,no apto
Mocoa,470,1393,14,1942,103,no apto
Armenia,471,1224,44,1686,49,no apto
Pereira,472,1147,24,3086,68,moderadamente apto
San Andres,473,367,35,1950,22,no apto
Bucaramanga,474,558,14,2120,54,no apto
Sincelejo,475,627,20,3484,81,marginalmente apto
Ibague,476,814,21,1663,88,moderadamente apto
Cali,477,637,35,3531,94,no apto
Mitu,478,1064,42,3587,97,no apto
Puerto Carreno,479,1069,31,2291,59,marginalmente apto
Leticia,480,893,25,4073,89,moderadamente apto
Medellin,481,1156,26,3987,39,marginalmente apto
Arauca,482,1395,36,2474,87,no apto
Barranquilla,483,380,22,1803,80,moderadamente apto
Cartagena,484,572,25,4134,24,no apto
Tunja,485,1138,40,1646,101,no apto
Manizales,486,357,21,2226,17,no apto
Florencia,487,455,26,3204,101,sumamente apto
Yopal,488,862,23,3960,93,moderadamente apto
Popayan,489,456,35,1748,17,no apto
Valledupar,490,437,18,2489,88,marginalmente apto
Quibdo,491,1246,36,3805,42,no apto
Monteria,492,941,19,2303,91,marginalmente apto
Bogota,493,1246,28,2968,59,moderadamente apto
Inirida,494,843,42,1315,86,no apto
San Jose del Guaviare,495,375,22,2956,19,no apto
Neiva,496,878,42,1825,67,no apto
Rioacha,497,839,15,2350,26,no apto
Santa Marta,498,1079,44,1428,42,no apto
Villavicencio,499,1229,44,4116,17,no apto
Pasto,500,861,21,1544,90,moderadamente apto
Cucuta,501,804,44,2697,101,no apto
Mocoa,502,879,20,1432,30,marginalmente apto
Armenia,503,582,18,2118,49,marginalmente apto
Pereira,504,444,19,1626,105,marginalmente apto
San Andres,505,1042,27,2096,48,marginalmente apto
Bucaramanga,506,1312,14,2162,74,no apto
Sincelejo,507,897,16,3031,74,no apto
Ibague,508,1300,27,1701,51,moderadamente apto
Cali,509,1182,44,3632,73,no apto
Mitu,510,1211,26,3964,88,moderadamente apto
Puerto Carreno,511,675,43,3416,28,no apto
Leticia,512,412,33,3933,84,no apto
Medellin,513,579,23,4066,71,moderadamente apto
Arauca,514,758,23,2235,47,marginalmente apto
Barranquilla,515,1314,23,1597,109,moderadamente apto
Cartagena,516,534,22,2593,33,marginalmente apto
Tunja,517,497,23,2044,74,moderadamente apto
Manizales,518,972,23,3821,37,marginalmente apto
Florencia,519,634,27,3917,50,marginalmente apto
Yopal,520,933,39,3198,48,no apto
Popayan,521,1382,18,2112,74,marginalmente apto
Valledupar,522,496,34,1441,72,no apto
Quibdo,523,580,41,3488,54,no apto
Monteria,524,794,36,3324,38,no apto
Bogota,525,824,16,3912,55,no apto
Inirida,526,445,20,3566,62,marginalmente apto
San Jose del Guaviare,527,969,23,2876,74,moderadamente apto
Neiva,528,632,33,3081,57,no apto
Rioacha,529,932,21,1291,88,moderadamente apto
Santa Marta,530,1177,44,2576,43,no apto
Villavicencio,531,1249,44,3950,90,no apto
Pasto,532,535,23,1103,28,marginalmente apto
Cucuta,533,1222,35,3345,87,no apto
Mocoa,534,673,33,3324,46,no apto
Armenia,535,1355,36,2443,95,no apto
Pereira,536,440,41,3697,60,no apto
San Andres,537,1361,14,1828,69,no apto
Bucaramanga,538,793,17,2313,64,no apto
Sincelejo,539,1015,26,3013,27,marginalmente apto
Ibague,540,1244,16,3188,94,no apto
Cali,541,1241,25,2514,31,marginalmente apto
Mitu,542,1116,38,1478,32,no apto
Puerto Carreno,543,387,33,3639,89,no apto
Leticia,544,1178,29,2416,58,moderadamente apto
Medellin,545,1153,40,1772,55,no apto
Arauca,546,816,43,2618,25,no apto
Barranquilla,547,1230,38,2255,88,no apto
Cartagena,548,1216,35,2970,91,no apto
Tunja,549,529,34,3969,89,no apto
Manizales,550,1155,25,1745,35,marginalmente apto
Florencia,551,1214,30,3475,38,marginalmente apto
Yopal,552,556,40,2716,52,no apto
Popayan,553,829,41,2890,81,no apto
Valledupar,554,870,44,3921,25,no apto
Quibdo,555,778,14,3729,40,no apto
Monteria,556,1176,30,2684,45,marginalmente apto
Bogota,557,769,20,3719,100,marginalmente apto
Inirida,558,957,23,3118,100,moderadamente apto
San Jose del Guaviare,559,835,40,2568,39,no apto
Neiva,560,808,14,1847,39,no apto
Rioacha,561,1053,39,3630,54,no apto
Santa Marta,562,666,28,2628,22,no apto
Villavicencio,563,839,35,3490,38,no apto
Pasto,564,947,20,2263,98,marginalmente apto
Cucuta,565,989,24,2075,90,moderadamente apto
Mocoa,566,861,33,1651,31,no apto
Armenia,567,445,42,3042,87,no apto
Pereira,568,470,15,2236,89,no apto
San Andres,569,1012,26,2106,79,moderadamente apto
Bucaramanga,570,983,21,2884,90,moderadamente apto
Sincelejo,571,1199,26,3827,72,moderadamente apto
Ibague,572,596,34,4124,18,no apto
Cali,573,1379,41,1767,83,no apto
Mitu,574,1128,31,4141,39,marginalmente apto
Puerto Carreno,575,1349,15,3761,26,no apto
Leticia,576,1304,34,1591,70,no apto
Medellin,577,1359,19,3095,15,no apto
Arauca,578,931,31,3202,71,marginalmente apto
Barranquilla,579,479,33,3363,38,no apto
Cartagena,580,1178,39,3120,48,no apto
Tunja,581,1219,43,2387,59,no apto
Manizales,582,1072,34,2345,57,no apto
Florencia,583,1004,28,2316,24,no apto
Yopal,584,897,16,3511,108,no apto
Popayan,585,1003,41,1601,55,no apto
Valledupar,586,1334,40,3095,29,no apto
Quibdo,587,1084,16,3406,53,no apto
Monteria,588,1223,15,2225,85,no apto
Bogota,589,1067,41,1586,92,no apto
Inirida,590,772,37,2814,75,no apto
San Jose del Guaviare,591,540,19,3074,77,marginalmente apto
Neiva,592,1287,14,2695,17,no apto
Rioacha,593,1238,43,4175,42,no apto
Santa Marta,594,1179,38,2616,98,no apto
Villavicencio,595,1149,25,2547,33,marginalmente apto
Pasto,596,728,34,2165,44,no apto
Cucuta,597,1095,35,1822,90,no apto
Mocoa,598,1059,21,1711,107,moderadamente apto
Armenia,599,950,37,3968,16,no apto
Pereira,600,706,21,3602,95,moderadamente apto
San Andres,601,855,20,4172,82,marginalmente apto
Bucaramanga,602,916,35,1948,83,no apto
Sincelejo,603,805,20,3467,47,marginalmente apto
Ibague,604,528,19,4153,84,marginalmente apto
Cali,605,1018,16,1445,24,no apto
Mitu,606,933,34,3201,67,no apto
Puerto Carreno,607,487,15,2585,64,no apto
Leticia,608,1281,38,2792,40,no apto
